quest_number;quest_description;quest_value;quest_repeat;quest_owner
1;Juggle fruits! (3p per unique fruit);1;single;glufs,snys,bug,lemur,
2;Roll down a hill (1p per person)(3 hills max);1;multiple;none
3;Have a race up sankt hans backar (1p per person);1;single;glufs,snys,bug,
4;Paint your nails in your student council colour (1p per person);1;single;none
5;"Recycle cans/bottles (panta) (1p for every 5th can; max points = 100) (Bonus when reaching max points )";1;multiple;none
6;Wear your lab coat to a lecture (1p per person);1;multiple;none
7;High Five with a pizza baker - (points for different pizza bakers);2;multiple;none
8;"Hug a counselor (kurator; nation or not) – (points after the number of counselors)";5;multiple;none
9;Bathe in a fountain - (points for different fountains) (Not Lundagård);5;multiple;none
10;Work out at the outdoor gym in winter clothing;5;single;lemur,
11;Perform a spex on Spexarevägen;5;single;none
12;Bribe mentors with a cake;5;single;none
13;Make posters for a non-existing course;5;single;none
14;Be BFFs with a professor;5;single;none
15;Take pictures of a student dormitory (points after how gross it looks);5;single;none
16;"If Finn exists; find Finn";5;single;none
17;Create a massive lab coat;5;single;none
18;Fence with the bulls;5;single;none
19;Forage for Potatoes;5;single;none
20;Question middle school students about what is ''cool'' in school playgrounds in Lund today;5;single;none
21;Build a human pyramid(1p per person);1;Single;none
22;Sing a song to one of the full timers from the song book;5;single;none
23;"Write ''Luna'' with new students; score after the size";5;single;none
24;Bug with a BUG. (Can not be performed by BUG);5;single;none
25;Pherform ''Physical'' physically with a physicist. (Can not be performed by GLuFS);5;single;none
26;Summon a demon with Lemur.. (Can not be performed by LEMUR);5;single;none
27;Bury a Gnome (as long as they get air). (Can not be performed by GNOMES);5;single;none
28;Adopt a pet rock;5;single;none
29;Go sledding down Sölvegatan (Fysicum to Kalmar Nation);5;single;none
30;Obtain a saber (sabel) and acquire a horse;5;single;none
31;Find the mountain troll at Trollebergsvägen;5;single;none
32;Roundabout Rave!;5;single;none
33;The cake is a lie!;5;single;none
34;Borrow a weird book at UB;5;single;none
35;Find a spanish bear;5;single;none
36;Help a lady across the street;5;single;none
37;Go where pepper grows;5;single;none
38;Stand statue in the city park;5;single;none
39;Skip rope with a giraffe;5;single;none
40;Make a suuuuuper looooong (jäääääääääättelång) spoon;5;single;none
41;"Play ''rock; paper; scissor'' in three languages at the same time";5;single;none
42;"Solve a math problem(high difficulty!!); in a sandbox";5;single;none
43;Play a kids show anthem on glass bottles;5;single;none
44;Make a somersault to get inside Wermlands nation;5;single;none
45;Prove that the high ground is superior;5;single;none
46;Order a Royal with cheese;5;single;none
47;Become a shooting star;5;single;none
48;Find an old member of the Mentor Committee (GoDs);5;single;none
49;Perform photoception (the more the better);5;single;none
50;Pet cute cats;5;single;none
51;Preach about the ”Santa religion” at Stortorget;5;single;none
52;Eat tuna at Tunavägen;5;single;none
53;Create a beautiful painting at Målarevägen;5;single;none
54;Hang up your own painting in a museum;5;single;none
55;Bake LUNA buns;5;single;none
56;Find the building that changes colour;5;single;none
57;Find the Student Health Centre (you don't have to book an appointment and don't bring the mascot inside);5;single;none
58;"Dance ringdance in Stortorget; Mårtenstorget and Clemenstorget! (Preferably simultaneously)";5;single;none
59;Consume sugar outside the sugar mill;5;single;none
60;Drink the red drink from Shell (or Circle K);5;single;none
61;"Burn red houses; hit little children and say bad words (Note; do not break the law!)";5;single;none
62;"Explore the faculty; find all student council rooms!";5;single;none
63;What is Jack Stauber really saying in Buttercup?;5;single;none
64;Eat forbidden fruit in paradise;5;single;none
65;Hold the door;5;single;none
66;Spell out your team's name with new students;5;single;none
67;Capture a Pokemon Gym with a Pokemon with your team's name;5;single;none
68;Down raspberry soda in Halland hall. (Halsa hallonsoda i Hallands hall);5;single;none
69;Go super Saiyan!!! (extra points for high power levels);5;single;none
70;iGWqyYLerA+VcCk+7myGRkafucLrXdhcps9/YPg7uw1ycBJozbB9ndW9pvCTz623V84et6jDkAjfV9VGQTkj+Q==;5;single;none
71;Stay the night at a nation dormitory - (score after the number of different nations);5;multiple;none
72;Show Lasse your best impression of Poseidon in Göteborg;5;single;none
73;Write a poem about Maites cat with his full name in it;5;single;none
